epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.951,1.82507,2.5489,1.31986,0.88916,0.38034,0.53937,0.24781,1.29525,1.84901,1.11715,0.00010002,0.00010002,0.00010002
2,132.925,1.57206,1.36063,1.11423,0.97343,0.45697,0.80131,0.44727,1.29937,1.29378,1.03716,0.000205983,0.000205983,0.000205983
3,192.279,1.55532,1.15132,1.06825,0.92186,0.0641,0.10234,0.0544,1.58181,2.28626,1.14913,0.000300393,0.000300393,0.000300393
4,237.096,1.6371,1.13377,1.1246,0.92734,0.4797,0.52355,0.28435,1.41244,1.37551,1.1034,0.000383252,0.000383252,0.000383252
5,288.526,1.61674,1.04081,1.08003,0.88404,0.62395,0.75171,0.39202,1.43618,1.6092,1.13575,0.000454558,0.000454558,0.000454558
6,345.628,1.55794,0.98043,1.10382,0.83823,0.60363,0.71222,0.35259,1.49008,1.32518,1.132,0.000514311,0.000514311,0.000514311
7,393.84,1.53205,0.94968,1.09348,0.93334,0.45726,0.63015,0.31835,1.51517,1.45342,1.13247,0.000562512,0.000562512,0.000562512
8,442.942,1.50087,0.92081,1.09365,0.5195,0.54968,0.56983,0.31475,1.43887,1.17259,1.14824,0.000599161,0.000599161,0.000599161
9,498.883,1.57737,0.85937,1.07476,0.6128,0.61645,0.65376,0.35333,1.42521,1.13246,1.15934,0.000624258,0.000624258,0.000624258
10,540.594,1.52003,0.86384,1.06469,0.66518,0.86645,0.79133,0.41887,1.42607,1.15284,1.17639,0.000637803,0.000637803,0.000637803
11,598.446,1.55435,0.88442,1.16198,0.95969,0.8398,0.85231,0.46468,1.39099,0.91523,1.157,0.000639795,0.000639795,0.000639795
12,659.684,1.47888,0.89204,1.12683,0.94928,0.784,0.83478,0.44189,1.4405,0.90344,1.18338,0.000630234,0.000630234,0.000630234
13,715.17,1.53516,0.83187,1.11644,0.91086,0.79309,0.83995,0.48079,1.37309,0.87517,1.15464,0.000609122,0.000609122,0.000609122
14,763.542,1.43436,0.82369,1.08905,0.91086,0.79309,0.83995,0.48079,1.37309,0.87517,1.15464,0.000576457,0.000576457,0.000576457
15,820.607,1.41955,0.798,1.09833,0.88741,0.80298,0.84487,0.48845,1.36897,0.86855,1.10927,0.000511769,0.000511769,0.000511769
16,859.695,1.4048,0.78871,1.08436,0.92314,0.80556,0.86548,0.50304,1.31433,0.83381,1.06594,0.000429253,0.000429253,0.000429253
17,902.743,1.37992,0.74532,1.06703,0.9347,0.824,0.86628,0.51459,1.30515,0.81844,1.06373,0.000346736,0.000346736,0.000346736
18,939.068,1.37882,0.74479,1.04977,0.92669,0.84758,0.87104,0.50872,1.29462,0.78399,1.06337,0.00026422,0.00026422,0.00026422
19,992.033,1.34988,0.71904,1.05349,0.96404,0.83423,0.87368,0.52035,1.27557,0.75533,1.05781,0.000181703,0.000181703,0.000181703
20,1029.1,1.3398,0.71333,1.04884,0.95487,0.84554,0.87522,0.52262,1.26932,0.73954,1.05615,9.91865e-05,9.91865e-05,9.91865e-05
